City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
113,puerto ayora,-0.7393,-90.3518,25.86,92,94,2.24,EC,1738098885
114,avarua,-21.2078,-159.775,29.03,79,40,5.66,CK,1738098886
115,khandyga,62.6667,135.6,-36.94,99,100,0.92,RU,1738098887
116,fale old settlement,-9.3852,-171.2468,28.13,72,100,5.13,TK,1738098888
117,el jadid,33.2549,-8.506,14.94,81,0,5.28,MA,1738098889
118,kidal,18.4411,1.4078,22.59,13,16,4.7,ML,1738098890
119,weno,7.4515,151.8468,28.97,84,100,5.14,FM,1738098892
120,nova sintra,14.8667,-24.7167,23.64,76,0,10.28,CV,1738098894
121,masterton,-40.9597,175.6575,19.38,47,70,6.03,NZ,1738098895
122,polyarnyy,69.1989,33.4478,-2.66,89,100,7.5,RU,1738098896
123,uyar,55.81,94.3153,-20.3,98,100,3.16,RU,1738098897
124,dhanwar,24.4167,85.9833,13.22,36,1,0.18,IN,1738098898
125,northam,51.0333,-4.2167,7.67,91,36,2.24,GB,1738098899
126,ola,59.5833,151.2833,-24.88,78,14,3.95,RU,1738098900
127,ust'-kulom,61.6864,53.6902,-12.98,98,92,1.89,RU,1738098901
128,olinda,-8.0089,-34.8553,27.85,74,75,2.57,BR,1738098902
129,dalcahue,-42.3628,-73.7022,19.06,55,40,2.57,CL,1738098903
130,tiksi,71.6872,128.8694,-26.23,93,100,6.61,RU,1738098904
131,vila franca do campo,37.7167,-25.4333,18.27,99,50,6.94,PT,1738098905
132,port mathurin,-19.6833,63.4167,26.6,75,20,5.89,MU,1738098906
133,college,64.8569,-147.8028,-18.01,71,75,2.06,US,1738098908
134,geraldton,-28.7667,114.6,21.23,88,36,2.57,AU,1738098909
135,atar,20.5169,-13.0499,22.53,9,0,5.25,MR,1738098910
136,lihue,21.9789,-159.3672,22.77,55,0,5.14,US,1738098837
137,saint-pierre,-21.3393,55.4781,27.82,74,40,1.54,RE,1738098912
138,aljezur,37.3191,-8.8033,11.57,70,5,2.97,PT,1738098913
139,galesong,-5.3166,119.3661,25.9,83,100,3.68,ID,1738098914
140,mount gambier,-37.8333,140.7667,14.96,57,99,3.14,AU,1738098632
141,walvis bay,-22.9575,14.5053,18.66,85,76,2.81,NA,1738098916
142,umm kaddadah,13.6017,26.6876,16.28,21,0,6.3,SD,1738098917
143,holualoa,19.6228,-155.9522,24.91,74,20,5.66,US,1738098918
144,ilulissat,69.2167,-51.1,-23.75,73,40,2.79,GL,1738098919
145,tralee,52.2704,-9.7026,5.91,79,63,3.67,IE,1738098920
146,bodo,67.28,14.405,1.36,82,64,6.37,NO,1738098921
147,aginskoye,51.1,114.53,-26.1,98,99,2.1,RU,1738098922
148,nar'yan-mar,67.6713,53.087,-17.54,100,93,2.3,RU,1738098924
149,port alfred,-33.5906,26.891,23.43,89,1,1.79,ZA,1738098925
150,haiku-pauwela,20.9219,-156.3051,20.58,90,100,4.02,US,1738098926
